interseccion,año,mes,dia,dia_semana,hora,hechos_viales
13 DE SEP. CON 13 DE SEP.,2018,12,3,Lunes,17,1
16 DE SEP. CON 16 DE SEP.,2015,2,19,Jueves,7,1
16 DE SEP. CON 16 DE SEP.,2017,11,30,Jueves,0,1
16 DE SEP. CON 16 DE SEP.,2018,4,26,Jueves,6,1
16 DE SEP. CON 16 DE SEP.,2020,8,5,Miércoles,8,1
16 DE SEP. CON ABASOLO,2017,6,8,Jueves,11,1
16 DE SEP. CON ALLENDE,2015,7,4,Sábado,16,1
16 DE SEP. CON BOSQUES DE CHAPULTEPEC,2015,6,12,Viernes,7,1
16 DE SEP. CON DE LA MESETA,2015,7,27,Lunes,14,1
16 DE SEP. CON DEGOLLADO,2016,3,31,Jueves,14,1
16 DE SEP. CON DEGOLLADO,2017,12,24,Domingo,7,1
16 DE SEP. CON DIEGO DE MONTEMAYOR,2017,9,14,Jueves,7,1
16 DE SEP. CON GUERRERO,2016,9,1,Jueves,15,1
16 DE SEP. CON GUERRERO,2016,9,12,Lunes,18,1
16 DE SEP. CON GUERRERO,2017,11,20,Lunes,17,1
16 DE SEP. CON GUERRERO,2019,1,30,Miércoles,19,1
16 DE SEP. CON J. M. MONTEMAYOR,2016,1,2,Sábado,8,1
16 DE SEP. CON J. M. MONTEMAYOR,2016,3,28,Lunes,8,1
16 DE SEP. CON J. M. MONTEMAYOR,2018,10,30,Martes,8,1
16 DE SEP. CON J. M. MONTEMAYOR,2020,8,19,Miércoles,12,1
16 DE SEP. CON JUAN I. RAMON,2018,12,7,Viernes,20,1
16 DE SEP. CON LOS ALDAMA,2015,3,4,Miércoles,12,1
16 DE SEP. CON LOS ALDAMA,2015,12,26,Sábado,12,1
16 DE SEP. CON LOS ALDAMA,2017,9,1,Viernes,9,1
16 DE SEP. CON LOS ALDAMA,2017,9,2,Sábado,7,1
16 DE SEP. CON MANUEL DOBLADO,2015,4,21,Martes,10,1
16 DE SEP. CON MANUEL DOBLADO,2016,9,9,Viernes,2,1
16 DE SEP. CON NEIL ARMSTRONG,2016,6,24,Viernes,19,1
16 DE SEP. CON NEIL ARMSTRONG,2020,11,20,Viernes,17,1
16 DE SEP. CON ORIENTE,2019,12,13,Viernes,11,1
16 DE SEP. CON PONIENTE,2015,11,1,Domingo,18,1
16 DE SEP. CON PRIV. J. M. MONTEMAYOR,2015,11,12,Jueves,11,1
16 DE SEP. CON PRIV. J. M. MONTEMAYOR,2018,6,16,Sábado,16,1
16 DE SEP. CON PRIV. PONIENTE,2019,11,30,Sábado,14,1
16 DE SEP. CON TREVIÑO,2015,7,3,Viernes,8,1
16 DE SEP. CON TREVIÑO,2016,11,9,Miércoles,15,1
16 DE SEP. CON TREVIÑO,2019,9,27,Viernes,20,1
2 DE ABRIL CON 2 DE ABRIL,2015,8,6,Jueves,19,1
2 DE ABRIL CON 2 DE ABRIL,2016,6,10,Viernes,8,1
2 DE ABRIL CON 2 DE ABRIL,2016,11,17,Jueves,16,1
2 DE ABRIL CON 2 DE ABRIL,2016,11,18,Viernes,23,1
2 DE ABRIL CON ABASOLO,2020,8,19,Miércoles,12,1
2 DE ABRIL CON ALLENDE,2017,7,22,Sábado,13,1
2 DE ABRIL CON ALLENDE,2019,8,27,Martes,21,1
2 DE ABRIL CON ALLENDE,2020,12,13,Domingo,10,1
2 DE ABRIL CON DEGOLLADO,2015,8,31,Lunes,15,1
2 DE ABRIL CON DEGOLLADO,2019,10,17,Jueves,16,1
2 DE ABRIL CON DIEGO DE ALMAGRO,2015,11,21,Sábado,20,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2015,8,19,Miércoles,16,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2015,8,30,Domingo,18,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2016,4,4,Lunes,21,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2016,4,6,Miércoles,14,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2016,10,21,Viernes,14,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2017,10,3,Martes,14,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2018,9,27,Jueves,15,1
2 DE ABRIL CON DIEGO DE MONTEMAYOR,2020,10,21,Miércoles,18,1
2 DE ABRIL CON DOBLADO,2018,11,1,Jueves,17,1
2 DE ABRIL CON GUERRERO,2015,3,26,Jueves,17,1
2 DE ABRIL CON GUERRERO,2015,8,26,Miércoles,19,1
2 DE ABRIL CON GUERRERO,2017,6,13,Martes,19,1
2 DE ABRIL CON JUAN I. RAMON,2015,2,19,Jueves,11,1
2 DE ABRIL CON JUAN I. RAMON,2015,4,1,Miércoles,18,1
2 DE ABRIL CON JUAN I. RAMON,2015,10,9,Viernes,11,1
2 DE ABRIL CON JUAN I. RAMON,2016,3,29,Martes,15,1
2 DE ABRIL CON JUAN I. RAMON,2016,10,15,Sábado,10,1
2 DE ABRIL CON JUAN I. RAMON,2016,11,19,Sábado,3,1
2 DE ABRIL CON JUAN I. RAMON,2018,1,25,Jueves,14,1
2 DE ABRIL CON LOS ALDAMA,2015,5,8,Viernes,17,1
2 DE ABRIL CON LOS ALDAMA,2017,3,18,Sábado,13,1
2 DE ABRIL CON LOS ALDAMA,2018,5,13,Domingo,19,1
2 DE ABRIL CON LOS RAYONES,2016,11,2,Miércoles,13,1
2 DE ABRIL CON MANUEL DOBLADO,2015,6,10,Miércoles,3,1
2 DE ABRIL CON MANUEL DOBLADO,2016,10,21,Viernes,3,1
2 DE ABRIL CON MANUEL DOBLADO,2017,2,25,Sábado,2,1
2 DE ABRIL CON MANUEL DOBLADO,2017,10,10,Martes,18,1
2 DE ABRIL CON MANUEL DOBLADO,2018,6,30,Sábado,2,1
2 DE ABRIL CON MANUEL DOBLADO,2018,11,6,Martes,3,1
2 DE ABRIL CON MANUEL GONZALEZ,2016,3,17,Jueves,11,1
2 DE ABRIL CON NEIL ARMSTRONG,2015,5,12,Martes,12,1
2 DE ABRIL CON NEIL ARMSTRONG,2015,7,6,Lunes,17,1
2 DE ABRIL CON NEIL ARMSTRONG,2016,8,19,Viernes,13,1
2 DE ABRIL CON PRIVADA 2,2017,6,24,Sábado,6,1
2 DE ABRIL CON TREVIÑO,2015,7,8,Miércoles,1,1
2 DE ABRIL CON TREVIÑO,2015,7,8,Miércoles,11,1
2 DE ABRIL CON TREVIÑO,2016,4,8,Viernes,19,1
2 DE ABRIL CON TREVIÑO,2016,8,29,Lunes,9,1
2 DE ABRIL CON TREVIÑO,2018,4,13,Viernes,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2015,3,14,Sábado,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2015,10,24,Sábado,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,2,12,Viernes,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,2,22,Lunes,12,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,5,18,Miércoles,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,7,6,Miércoles,19,1
20 DE NOVIEMBRE CON 16 DE SEP.,2016,9,22,Jueves,2,1
20 DE NOVIEMBRE CON 16 DE SEP.,2017,2,23,Jueves,9,1
20 DE NOVIEMBRE CON 16 DE SEP.,2017,3,10,Viernes,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2017,6,24,Sábado,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2019,8,19,Lunes,10,1
20 DE NOVIEMBRE CON 16 DE SEP.,2020,2,14,Viernes,12,1
20 DE NOVIEMBRE CON 16 DE SEP.,2020,2,26,Miércoles,5,1
20 DE NOVIEMBRE CON 20 DE NOVIEMBRE,2018,3,5,Lunes,14,1
20 DE NOVIEMBRE CON 25 DE MAYO,2017,12,13,Miércoles,14,1
20 DE NOVIEMBRE CON 5 DE MAYO,2017,6,17,Sábado,14,1
20 DE NOVIEMBRE CON GALEANA,2015,3,19,Jueves,17,1
20 DE NOVIEMBRE CON GALEANA,2016,11,28,Lunes,8,1
20 DE NOVIEMBRE CON GALEANA,2017,4,28,Viernes,17,1
20 DE NOVIEMBRE CON GALEANA,2017,12,18,Lunes,2,1
20 DE NOVIEMBRE CON GALEANA,2018,2,21,Miércoles,20,1
20 DE NOVIEMBRE CON GALEANA,2020,11,13,Viernes,9,1
20 DE NOVIEMBRE CON MANGANESO,2016,10,22,Sábado,14,1
20 DE NOVIEMBRE CON MERCURIO,2015,9,10,Jueves,15,1
20 DE NOVIEMBRE CON MERCURIO,2015,11,23,Lunes,16,1
20 DE NOVIEMBRE CON MERCURIO,2016,8,30,Martes,0,1
20 DE NOVIEMBRE CON MERCURIO,2017,3,3,Viernes,20,1
20 DE NOVIEMBRE CON MERCURIO,2017,12,9,Sábado,19,1
20 DE NOVIEMBRE CON MERCURIO,2018,4,11,Miércoles,7,1
20 DE NOVIEMBRE CON MERCURIO,2018,4,30,Lunes,15,1
20 DE NOVIEMBRE CON MERCURIO,2018,8,10,Viernes,11,1
20 DE NOVIEMBRE CON MERCURIO,2018,12,4,Martes,18,1
20 DE NOVIEMBRE CON MERCURIO,2020,1,19,Domingo,9,1
20 DE NOVIEMBRE CON MERCURIO,2020,8,9,Domingo,2,1
20 DE NOVIEMBRE CON NATIVIDAD GARCIA,2018,5,4,Viernes,15,1
20 DE NOVIEMBRE CON ORO,2019,3,22,Viernes,20,1
20 DE NOVIEMBRE CON PRIVADA 16 DE SEPTIEMBRE,2020,10,16,Viernes,9,1
20 DE NOVIEMBRE CON PRIVADA USUMACINTA,2016,9,26,Lunes,18,1
20 DE NOVIEMBRE CON USUMACINTA,2020,5,11,Lunes,9,1
21 DE MARZO CON PRIV. SIN NOMBRE,2019,5,6,Lunes,7,1
2ª DE MONTE PALATINO CON MONTE AVIMAL,2015,8,19,Miércoles,11,1
2ª DE MONTE PALATINO CON MONTE VIMINAL,2015,12,15,Martes,14,1
2ª DE MONTE PALATINO CON MONTE VIMINAL,2016,9,28,Miércoles,15,1
2ª DE MONTE PALATINO CON MONTE VIMINAL,2019,5,16,Jueves,14,1
5 DE MAYO CON 5 DE MAYO,2016,12,13,Martes,16,1
5 DE MAYO CON 5 DE MAYO,2019,11,8,Viernes,15,1
5 DE MAYO CON ABASOLO,2016,9,10,Sábado,17,1
5 DE MAYO CON ABASOLO,2016,12,5,Lunes,12,1
5 DE MAYO CON ABASOLO,2020,12,24,Jueves,18,1
5 DE MAYO CON ALLENDE,2015,9,11,Viernes,20,1
5 DE MAYO CON BENITO J. FEIJOR,2016,5,17,Martes,21,1
5 DE MAYO CON DEGOLLADO,2015,4,20,Lunes,17,1
5 DE MAYO CON DEGOLLADO,2017,4,30,Domingo,2,1
5 DE MAYO CON DEGOLLADO,2018,10,15,Lunes,16,1
5 DE MAYO CON DOBLADO,2019,5,3,Viernes,17,1
5 DE MAYO CON DOBLADO,2019,11,15,Viernes,2,1
5 DE MAYO CON JUAN I. RAMON,2017,9,17,Domingo,17,1
5 DE MAYO CON JUAN I. RAMON,2019,4,26,Viernes,17,1
5 DE MAYO CON LOS RAYONES,2018,2,3,Sábado,16,1
5 DE MAYO CON MANUEL DOBLADO,2015,8,5,Miércoles,3,1
5 DE MAYO CON TREVIÑO,2016,1,30,Sábado,16,1
A. B. DE LA GARZA CON A. B. DE LA GARZA,2020,6,28,Domingo,20,1
A. DE LA HUERTA CON A. RUIZ CORTINEZ,2016,7,31,Domingo,14,1
A. DE LA HUERTA CON ING. ARTURO GONZALEZ,2015,9,26,Sábado,7,1
A. DE LA HUERTA CON RUIZ CORTINES,2018,8,10,Viernes,8,1
A. DIAZ SOTO Y GAMA CON A. RUIZ CORTINEZ,2015,6,14,Domingo,9,1
A. DIAZ SOTO Y GAMA CON A. RUIZ CORTINEZ,2017,3,25,Sábado,8,1
A. DIAZ SOTO Y GAMA CON A. RUIZ CORTINEZ,2017,10,1,Domingo,8,1
A. DIAZ SOTO Y GAMA CON ADAN HERNANDEZ,2015,4,20,Lunes,9,1
A. DIAZ SOTO Y GAMA CON ADAN HERNANDEZ,2015,6,12,Viernes,16,1
A. DIAZ SOTO Y GAMA CON ADAN HERNANDEZ,2015,8,24,Lunes,9,1
A. DIAZ SOTO Y GAMA CON ADAN HERNANDEZ,2015,10,3,Sábado,10,1
A. DIAZ SOTO Y GAMA CON ADAN HERNANDEZ,2017,3,23,Jueves,9,1
A. DIAZ SOTO Y GAMA CON ADAN HERNANDEZ,2020,12,29,Martes,9,1
A. DIAZ SOTO Y GAMA CON ALBERTO R. GONZALEZ,2015,6,14,Domingo,10,1
A. DIAZ SOTO Y GAMA CON DIVISION DEL NORTE,2015,3,9,Lunes,17,1
A. DIAZ SOTO Y GAMA CON DIVISION DEL NORTE,2017,1,18,Miércoles,10,1
A. DIAZ SOTO Y GAMA CON FLORES MAGON,2015,2,23,Lunes,13,1
A. DIAZ SOTO Y GAMA CON FLORES MAGON,2017,8,13,Domingo,12,1
A. DIAZ SOTO Y GAMA CON FLORES MAGON,2018,3,16,Viernes,12,1
A. DIAZ SOTO Y GAMA CON LUIS CABRERA,2015,7,18,Sábado,13,1
A. DIAZ SOTO Y GAMA CON LUIS CABRERA,2015,7,20,Lunes,1,1
A. DIAZ SOTO Y GAMA CON LUIS CABRERA,2015,12,17,Jueves,13,1
A. DIAZ SOTO Y GAMA CON P. GONZALEZ GARZA,2015,4,2,Jueves,1,1
A. DIAZ SOTO Y GAMA CON P. GONZALEZ GARZA,2020,10,18,Domingo,13,1
A. DIAZ SOTO Y GAMA CON PLAN DE GPE.,2015,3,10,Martes,8,1
A. DIAZ SOTO Y GAMA CON PLAN DE GPE.,2016,2,20,Sábado,10,1
A. DIAZ SOTO Y GAMA CON R. GONZALEZ GARZA,2015,4,14,Martes,12,1
A. GONZALEZ CON A. GONZALEZ,2018,6,21,Jueves,13,1
A. LOPEZ MATEOS CON PRIV. LA PAZ,2016,5,22,Domingo,13,1
A. LOPEZ MATEOS CON VALLE DE CHIPINQUE,2017,8,10,Jueves,14,1
A. SERDAN CON LUCRECIA TORIS,2017,5,20,Sábado,14,1
A. SERDAN CON LUCRECIA TORIS,2018,9,8,Sábado,15,1
A. SERDAN CON LUIS CABRERA,2016,2,28,Domingo,1,1
A. SERDAN CON LUIS CABRERA,2016,3,4,Viernes,16,1
A. SERDAN CON LUIS CABRERA,2016,10,17,Lunes,1,1
A. SERDAN CON LUIS CABRERA,2017,4,3,Lunes,16,1
A. SERDAN CON LUIS CABRERA,2017,10,1,Domingo,17,1
A. SERDAN CON P. GONZALEZ GARZA,2016,9,8,Jueves,18,1
A. SERDAN CON P. GONZALEZ GARZA,2017,6,28,Miércoles,18,1
A. SILLER CON A. SILLER,2015,2,19,Jueves,19,1
A. SILLER CON A. SILLER,2015,2,23,Lunes,19,1
A. SILLER CON FCO. SILLER,2015,3,19,Jueves,18,1
A. SILLER CON MANUEL GONZALEZ,2016,2,29,Lunes,8,1
A. SILLER CON MANUEL GONZALEZ,2017,9,7,Jueves,11,1
A. SILLER CON MARIANO VERASTEGUI,2020,9,8,Martes,12,1
A. SILLER CON NESTOR GARCIA,2015,8,30,Domingo,9,1
A. SILLER CON NESTOR GARCIA,2016,3,20,Domingo,11,1
A. SILLER CON NESTOR GARCIA,2017,2,7,Martes,8,1
A. SILLER CON NESTOR GARCIA,2020,1,10,Viernes,14,1
ABASOLO COMO LIBERTAD,2017,7,26,Miércoles,14,1
ABASOLO COMO LIBERTAD,2018,11,12,Lunes,14,1
ABASOLO CON ABASOLO,2019,9,21,Sábado,13,1
ABASOLO CON GRANADA,2015,1,25,Domingo,18,1
ABASOLO CON LOS CEDROS,2017,7,29,Sábado,14,1
ABASOLO CON LOS FRESNOS,2017,7,24,Lunes,14,1
ABASOLO CON LOS FRESNOS,2019,5,27,Lunes,14,1
ABASOLO CON LOS FRESNOS,2020,7,1,Miércoles,17,1
ABASOLO CON SEVILLA,2015,9,18,Viernes,16,1
ABASOLO CON SEVILLA,2019,12,4,Miércoles,11,1
ABETO CON EBANOS,2015,3,3,Martes,16,1
ADAN HERNANDEZ CON ADAN HERNANDEZ,2019,3,15,Viernes,17,1
ADAN HERNANDEZ CON ANTONIO D. SISERON,2016,2,2,Martes,17,1
ALANBRA CON ESCORIAL,2020,9,15,Martes,17,1
ALEJANDRIA CON ALEJANDRIA,2019,10,21,Lunes,20,1
ALEJANDRIA CON ANT. CAM A SAN AGUSTIN,2015,5,15,Viernes,16,1
ALEJANDRIA CON ANT. CAM A SAN AGUSTIN,2015,11,9,Lunes,15,1
ALEJANDRIA CON ANT. CAM A SAN AGUSTIN,2020,8,10,Lunes,16,1
ALEJANDRIA CON BIZANCIO,2015,7,9,Jueves,13,1
ALEJANDRIA CON BIZANCIO,2017,2,20,Lunes,23,1
ALEJANDRIA CON BIZANCIO,2017,10,9,Lunes,21,1
ALEJANDRIA CON BIZANCIO,2019,5,13,Lunes,21,1
ALEJANDRIA CON CALZADAS DE LOS ENCINOS,2019,6,21,Viernes,18,1
ALEJANDRIA CON CALZADAS DE LOS ENCINOS,2020,11,29,Domingo,7,1
ALEJANDRIA CON CARTAGENA,2015,2,9,Lunes,13,1
ALEJANDRIA CON CARTAGENA,2015,7,8,Miércoles,21,1
ALEJANDRIA CON CARTAGENA,2016,4,26,Martes,18,1
ALEJANDRIA CON CARTAGENA,2017,5,5,Viernes,18,1
ALEJANDRIA CON CARTAGENA,2017,7,5,Miércoles,14,1
ALEJANDRIA CON CARTAGENA,2018,10,15,Lunes,15,1
ALEJANDRIA CON CARTAGENA,2020,12,22,Martes,17,2
ALEJANDRIA CON DAMASCO,2020,12,13,Domingo,15,1
ALEJANDRIA CON DEL ENCINO,2018,10,13,Sábado,20,1
ALEJANDRIA CON FLORENCIA,2018,6,17,Domingo,17,1
ALEJANDRIA CON FLORENCIA,2020,10,11,Domingo,0,1
ALEJANDRIA CON JERICO,2017,12,22,Viernes,13,1
ALEJANDRIA CON JERICO,2018,4,22,Domingo,7,1
ALEJANDRIA CON JERICO,2018,11,1,Jueves,21,1
ALEJANDRIA CON JERICO,2019,6,16,Domingo,7,1
ALEJANDRIA CON LAS CALZADAS,2015,2,13,Viernes,8,1
ALEJANDRIA CON LAS CALZADAS,2015,8,15,Sábado,15,1
ALEJANDRIA CON LAS CALZADAS,2016,1,24,Domingo,16,1
ALEJANDRIA CON LAS CALZADAS,2018,12,5,Miércoles,14,1
ALEJANDRIA CON LAS CALZADAS,2020,5,28,Jueves,18,1
ALEJANDRIA CON LAS CALZADAS,2020,8,10,Lunes,19,1
ALEJANDRIA CON RENACIMIENTO,2016,4,15,Viernes,19,1
ALEJANDRIA CON RENACIMIENTO,2017,9,4,Lunes,16,1
ALEJANDRINA CON ALEJANDRINA,2018,7,4,Miércoles,7,1
ALEJANDRO VI CON JUAN SARABIA,2017,1,24,Martes,20,1
ALEJANDRO VI CON JUAN SARABIA,2019,7,7,Domingo,0,1
ALFONSO REYES CON A. LOPEZ MATEOS,2015,4,16,Jueves,13,1
ALFONSO REYES CON A. LOPEZ MATEOS,2015,4,22,Miércoles,11,1
ALFONSO REYES CON A. LOPEZ MATEOS,2015,12,11,Viernes,13,1
ALFONSO REYES CON A. LOPEZ MATEOS,2016,2,26,Viernes,13,1
ALFONSO REYES CON A. LOPEZ MATEOS,2016,4,20,Miércoles,22,1
ALFONSO REYES CON A. LOPEZ MATEOS,2017,1,1,Domingo,10,1
ALFONSO REYES CON A. LOPEZ MATEOS,2017,1,28,Sábado,7,1
ALFONSO REYES CON A. LOPEZ MATEOS,2017,3,24,Viernes,13,1
ALFONSO REYES CON A. LOPEZ MATEOS,2017,5,16,Martes,16,1
ALFONSO REYES CON A. LOPEZ MATEOS,2017,6,6,Martes,7,1
ALFONSO REYES CON A. LOPEZ MATEOS,2017,7,10,Lunes,9,1
ALFONSO REYES CON A. LOPEZ MATEOS,2018,4,19,Jueves,17,1
ALFONSO REYES CON A. LOPEZ MATEOS,2018,11,14,Miércoles,9,1
ALFONSO REYES CON A. LOPEZ MATEOS,2019,4,11,Jueves,13,1
ALFONSO REYES CON A. LOPEZ MATEOS,2019,9,25,Miércoles,8,1
ALFONSO REYES CON A. LOPEZ MATEOS,2019,10,1,Martes,18,1
ALFONSO REYES CON A. LOPEZ MATEOS,2019,10,14,Lunes,13,1
ALFONSO REYES CON A. LOPEZ MATEOS,2019,10,22,Martes,9,1
ALFONSO REYES CON A. LOPEZ MATEOS,2020,2,12,Miércoles,13,1
ALFONSO REYES CON A. LOPEZ MATEOS,2020,3,7,Sábado,12,1
ALFONSO REYES CON A. SILLER,2016,5,27,Viernes,10,1
ALFONSO REYES CON ALFONSO REYES,2015,1,6,Martes,14,1
ALFONSO REYES CON ALFONSO REYES,2015,3,7,Sábado,21,1
ALFONSO REYES CON ALFONSO REYES,2015,8,25,Martes,17,1
ALFONSO REYES CON ALFONSO REYES,2015,12,17,Jueves,23,1
ALFONSO REYES CON ALFONSO REYES,2016,8,9,Martes,14,1
ALFONSO REYES CON ALFONSO REYES,2016,8,21,Domingo,15,1
ALFONSO REYES CON ALFONSO REYES,2016,9,13,Martes,18,1
ALFONSO REYES CON ALFONSO REYES,2016,10,8,Sábado,20,1
ALFONSO REYES CON ALFONSO REYES,2016,12,23,Viernes,13,1
ALFONSO REYES CON ALFONSO REYES,2016,12,25,Domingo,9,1
ALFONSO REYES CON ALFONSO REYES,2017,3,13,Lunes,13,1
ALFONSO REYES CON ALFONSO REYES,2017,3,26,Domingo,22,1
ALFONSO REYES CON ALFONSO REYES,2017,6,6,Martes,13,1
ALFONSO REYES CON ALFONSO REYES,2017,8,12,Sábado,22,1
ALFONSO REYES CON ALFONSO REYES,2017,9,6,Miércoles,7,1
ALFONSO REYES CON ALFONSO REYES,2017,12,20,Miércoles,17,1
ALFONSO REYES CON ALFONSO REYES,2018,3,22,Jueves,1,1
ALFONSO REYES CON ALFONSO REYES,2018,4,18,Miércoles,17,1
ALFONSO REYES CON ALFONSO REYES,2018,8,7,Martes,9,1
ALFONSO REYES CON ALFONSO REYES,2018,9,9,Domingo,20,1
ALFONSO REYES CON ALFONSO REYES,2018,11,17,Sábado,23,1
ALFONSO REYES CON ALFONSO REYES,2018,12,3,Lunes,12,1
ALFONSO REYES CON ALFONSO REYES,2020,8,3,Lunes,0,1
ALFONSO REYES CON ALTAMIRANO,2015,1,7,Miércoles,17,1
ALFONSO REYES CON ALTAMIRANO,2015,1,15,Jueves,8,1
ALFONSO REYES CON ALTAMIRANO,2015,1,15,Jueves,15,1
ALFONSO REYES CON ALTAMIRANO,2015,1,30,Viernes,19,1
ALFONSO REYES CON ALTAMIRANO,2015,4,18,Sábado,14,1
ALFONSO REYES CON ALTAMIRANO,2015,5,24,Domingo,13,1
ALFONSO REYES CON ALTAMIRANO,2015,9,10,Jueves,8,1
ALFONSO REYES CON ALTAMIRANO,2015,9,15,Martes,17,1
ALFONSO REYES CON ALTAMIRANO,2015,9,28,Lunes,22,1
ALFONSO REYES CON ALTAMIRANO,2015,10,23,Viernes,14,1
ALFONSO REYES CON ALTAMIRANO,2015,12,17,Jueves,15,1
ALFONSO REYES CON ALTAMIRANO,2016,1,29,Viernes,14,1
ALFONSO REYES CON ALTAMIRANO,2016,3,10,Jueves,16,1
ALFONSO REYES CON ALTAMIRANO,2016,8,8,Lunes,15,1
ALFONSO REYES CON ALTAMIRANO,2016,9,7,Miércoles,18,1
ALFONSO REYES CON ALTAMIRANO,2016,11,30,Miércoles,14,1
ALFONSO REYES CON ALTAMIRANO,2017,1,10,Martes,7,1
ALFONSO REYES CON ALTAMIRANO,2017,3,22,Miércoles,17,1
ALFONSO REYES CON ALTAMIRANO,2017,5,23,Martes,14,1
ALFONSO REYES CON ALTAMIRANO,2017,8,9,Miércoles,15,1
ALFONSO REYES CON ALTAMIRANO,2017,8,28,Lunes,15,1
ALFONSO REYES CON ALTAMIRANO,2017,10,4,Miércoles,11,1
ALFONSO REYES CON ALTAMIRANO,2017,10,6,Viernes,4,1
ALFONSO REYES CON ALTAMIRANO,2017,11,16,Jueves,14,1
ALFONSO REYES CON ALTAMIRANO,2017,12,6,Miércoles,16,1
ALFONSO REYES CON ALTAMIRANO,2018,1,24,Miércoles,10,1
ALFONSO REYES CON ALTAMIRANO,2018,3,13,Martes,16,1
ALFONSO REYES CON ALTAMIRANO,2018,3,24,Sábado,13,1
ALFONSO REYES CON ALTAMIRANO,2018,4,6,Viernes,14,1
ALFONSO REYES CON ALTAMIRANO,2018,9,17,Lunes,10,1
ALFONSO REYES CON ALTAMIRANO,2018,9,27,Jueves,10,1
ALFONSO REYES CON ALTAMIRANO,2018,9,27,Jueves,11,1
ALFONSO REYES CON ALTAMIRANO,2018,12,29,Sábado,7,1
ALFONSO REYES CON ALTAMIRANO,2019,3,7,Jueves,19,1
ALFONSO REYES CON AV DE LA SIERRA,2020,11,28,Sábado,18,1
ALFONSO REYES CON BARRANCA,2015,2,4,Miércoles,7,1
ALFONSO REYES CON BARRANCA,2015,2,12,Jueves,16,1
ALFONSO REYES CON BARRANCA,2015,2,21,Sábado,8,1
ALFONSO REYES CON BARRANCA,2015,4,27,Lunes,11,1
ALFONSO REYES CON BARRANCA,2015,5,15,Viernes,16,1
ALFONSO REYES CON BARRANCA,2015,6,4,Jueves,9,1
ALFONSO REYES CON BARRANCA,2015,6,15,Lunes,21,1
ALFONSO REYES CON BARRANCA,2015,6,16,Martes,15,1
ALFONSO REYES CON BARRANCA,2015,10,20,Martes,13,1
ALFONSO REYES CON BARRANCA,2015,10,24,Sábado,16,1
ALFONSO REYES CON BARRANCA,2015,11,17,Martes,1,1
ALFONSO REYES CON BARRANCA,2015,12,14,Lunes,1,1
ALFONSO REYES CON BARRANCA,2015,12,16,Miércoles,12,1
ALFONSO REYES CON BARRANCA,2016,1,19,Martes,21,1
ALFONSO REYES CON BARRANCA,2016,1,20,Miércoles,13,1
ALFONSO REYES CON BARRANCA,2016,1,27,Miércoles,18,1
ALFONSO REYES CON BARRANCA,2016,3,23,Miércoles,17,1
ALFONSO REYES CON BARRANCA,2016,4,21,Jueves,19,1
ALFONSO REYES CON BARRANCA,2016,10,28,Viernes,16,1
ALFONSO REYES CON BARRANCA,2016,12,8,Jueves,17,1
ALFONSO REYES CON BARRANCA,2016,12,22,Jueves,17,1
ALFONSO REYES CON BARRANCA,2017,5,24,Miércoles,16,1
ALFONSO REYES CON BARRANCA,2017,7,14,Viernes,18,1
ALFONSO REYES CON BARRANCA,2017,7,30,Domingo,13,1
ALFONSO REYES CON BARRANCA,2017,9,5,Martes,6,1
ALFONSO REYES CON BARRANCA,2017,9,28,Jueves,15,1
ALFONSO REYES CON BARRANCA,2017,10,4,Miércoles,17,1
ALFONSO REYES CON BARRANCA,2017,11,8,Miércoles,16,1
ALFONSO REYES CON BARRANCA,2017,12,19,Martes,8,1
ALFONSO REYES CON BARRANCA,2017,12,19,Martes,14,1
ALFONSO REYES CON BARRANCA,2018,1,30,Martes,13,1
ALFONSO REYES CON BARRANCA,2018,2,27,Martes,10,1
ALFONSO REYES CON BARRANCA,2018,2,27,Martes,17,1
ALFONSO REYES CON BARRANCA,2018,3,9,Viernes,10,1
ALFONSO REYES CON BARRANCA,2018,3,13,Martes,19,1
ALFONSO REYES CON BARRANCA,2018,3,16,Viernes,10,1
ALFONSO REYES CON BARRANCA,2018,4,3,Martes,10,1
ALFONSO REYES CON BARRANCA,2018,4,13,Viernes,7,1
ALFONSO REYES CON BARRANCA,2018,5,4,Viernes,19,1
ALFONSO REYES CON BARRANCA,2018,5,15,Martes,3,1
ALFONSO REYES CON BARRANCA,2018,6,3,Domingo,14,1
ALFONSO REYES CON BARRANCA,2018,10,3,Miércoles,10,1
ALFONSO REYES CON BARRANCA,2018,10,26,Viernes,11,1
